KO ID	Name	Definition	Gene Count	
KO:K00003	hom	homoserine dehydrogenase [EC:1.1.1.3]	1	
KO:K00014	aroE	shikimate dehydrogenase [EC:1.1.1.25]	1	
KO:K00020	HIBADH, mmsB	3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]	1	
KO:K00031	IDH1, IDH2, icd	isocitrate dehydrogenase [EC:1.1.1.42]	1	
KO:K00036	G6PD, zwf	glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]	1	
KO:K00053	ilvC	ketol-acid reductoisomerase [EC:1.1.1.86]	1	
KO:K00057	gpsA	glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94]	1	
KO:K00058	serA, PHGDH	D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]	1	
KO:K00059	fabG, OAR1	3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]	1	
KO:K00075	murB	UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98]	1	
KO:K00076	hdhA	7-alpha-hydroxysteroid dehydrogenase [EC:1.1.1.159]	1	
KO:K00088	IMPDH, guaB	IMP dehydrogenase [EC:1.1.1.205]	1	
KO:K00099	dxr	1-deoxy-D-xylulose-5-phosphate reductoisomerase [EC:1.1.1.267]	1	
KO:K00104	glcD	glycolate oxidase [EC:1.1.3.15]	1	
KO:K00116	mqo	malate dehydrogenase (quinone) [EC:1.1.5.4]	1	
KO:K00133	asd	aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	1	
KO:K00134	GAPDH, gapA	glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]	2	
KO:K00169	porA	pyruvate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.1]	1	
KO:K00170	porB	pyruvate ferredoxin oxidoreductase beta subunit [EC:1.2.7.1]	1	
KO:K00171	porD	pyruvate ferredoxin oxidoreductase delta subunit [EC:1.2.7.1]	1	
KO:K00172	porC, porG	pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.1]	1	
KO:K00174	korA, oorA, oforA	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11]	1	
KO:K00175	korB, oorB, oforB	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11]	1	
KO:K00176	korD, oorD	2-oxoglutarate ferredoxin oxidoreductase subunit delta [EC:1.2.7.3]	1	
KO:K00177	korC, oorC	2-oxoglutarate ferredoxin oxidoreductase subunit gamma [EC:1.2.7.3]	1	
KO:K00208	fabI	enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9 1.3.1.10]	1	
KO:K00215	dapB	4-hydroxy-tetrahydrodipicolinate reductase [EC:1.17.1.8]	1	
KO:K00244	frdA	fumarate reductase flavoprotein subunit [EC:1.3.5.4]	1	
KO:K00245	frdB	fumarate reductase iron-sulfur subunit [EC:1.3.5.4]	1	
KO:K00246	frdC	fumarate reductase subunit C	1	
KO:K00254	DHODH, pyrD	dihydroorotate dehydrogenase [EC:1.3.5.2]	1	
KO:K00259	ald	alanine dehydrogenase [EC:1.4.1.1]	1	
KO:K00262	E1.4.1.4, gdhA	glutamate dehydrogenase (NADP+) [EC:1.4.1.4]	1	
KO:K00285	dadA	D-amino-acid dehydrogenase [EC:1.4.5.1]	1	
KO:K00286	proC	pyrroline-5-carboxylate reductase [EC:1.5.1.2]	1	
KO:K00290	LYS1	saccharopine dehydrogenase (NAD+, L-lysine forming) [EC:1.5.1.7]	1	
KO:K00330	nuoA	NADH-quinone oxidoreductase subunit A [EC:7.1.1.2]	1	
KO:K00331	nuoB	NADH-quinone oxidoreductase subunit B [EC:7.1.1.2]	1	
KO:K00332	nuoC	NADH-quinone oxidoreductase subunit C [EC:7.1.1.2]	1	
KO:K00333	nuoD	NADH-quinone oxidoreductase subunit D [EC:7.1.1.2]	1	
KO:K00334	nuoE	NADH-quinone oxidoreductase subunit E [EC:7.1.1.2]	1	
KO:K00335	nuoF	NADH-quinone oxidoreductase subunit F [EC:7.1.1.2]	1	
KO:K00336	nuoG	NADH-quinone oxidoreductase subunit G [EC:7.1.1.2]	1	
KO:K00337	nuoH	NADH-quinone oxidoreductase subunit H [EC:7.1.1.2]	1	
KO:K00338	nuoI	NADH-quinone oxidoreductase subunit I [EC:7.1.1.2]	1	
KO:K00339	nuoJ	NADH-quinone oxidoreductase subunit J [EC:7.1.1.2]	1	
KO:K00340	nuoK	NADH-quinone oxidoreductase subunit K [EC:7.1.1.2]	1	
KO:K00341	nuoL	NADH-quinone oxidoreductase subunit L [EC:7.1.1.2]	1	
KO:K00342	nuoM	NADH-quinone oxidoreductase subunit M [EC:7.1.1.2]	1	
KO:K00343	nuoN	NADH-quinone oxidoreductase subunit N [EC:7.1.1.2]	1	
KO:K00364	E1.7.1.7, guaC	GMP reductase [EC:1.7.1.7]	1	
KO:K00384	trxB, TRR	thioredoxin reductase (NADPH) [EC:1.8.1.9]	2	
KO:K00404	ccoN	cytochrome c oxidase cbb3-type subunit I [EC:7.1.1.9]	1	
KO:K00405	ccoO	cytochrome c oxidase cbb3-type subunit II	1	
KO:K00406	ccoP	cytochrome c oxidase cbb3-type subunit III	1	
KO:K00407	ccoQ	cytochrome c oxidase cbb3-type subunit IV	1	
KO:K00411	UQCRFS1, RIP1, petA	ubiquinol-cytochrome c reductase iron-sulfur subunit [EC:7.1.1.8]	1	
KO:K00412	CYTB, petB	ubiquinol-cytochrome c reductase cytochrome b subunit	1	
KO:K00413	CYC1, CYT1, petC	ubiquinol-cytochrome c reductase cytochrome c1 subunit	1	
KO:K00428	E1.11.1.5	cytochrome c peroxidase [EC:1.11.1.5]	1	
KO:K00459	ncd2, npd	nitronate monooxygenase [EC:1.13.12.16]	1	
KO:K00525	E1.17.4.1A, nrdA, nrdE	ribonucleoside-diphosphate reductase alpha chain [EC:1.17.4.1]	1	
KO:K00526	E1.17.4.1B, nrdB, nrdF	ribonucleoside-diphosphate reductase beta chain [EC:1.17.4.1]	1	
KO:K00554	trmD	tRNA (guanine37-N1)-methyltransferase [EC:2.1.1.228]	1	
KO:K00558	DNMT1, dcm	DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]	3	
KO:K00566	mnmA, trmU	tRNA-uridine 2-sulfurtransferase [EC:2.8.1.13]	2	
KO:K00567	ogt, MGMT	methylated-DNA-[protein]-cysteine S-methyltransferase [EC:2.1.1.63]	1	
KO:K00571	E2.1.1.72	site-specific DNA-methyltransferase (adenine-specific) [EC:2.1.1.72]	4	
KO:K00573	E2.1.1.77, pcm	protein-L-isoaspartate(D-aspartate) O-methyltransferase [EC:2.1.1.77]	1	
KO:K00574	cfa	cyclopropane-fatty-acyl-phospholipid synthase [EC:2.1.1.79]	1	
KO:K00600	glyA, SHMT	glycine hydroxymethyltransferase [EC:2.1.2.1]	1	
KO:K00604	MTFMT, fmt	methionyl-tRNA formyltransferase [EC:2.1.2.9]	1	
KO:K00606	panB	3-methyl-2-oxobutanoate hydroxymethyltransferase [EC:2.1.2.11]	1	
KO:K00609	pyrB, PYR2	aspartate carbamoyltransferase catalytic subunit [EC:2.1.3.2]	1	
KO:K00615	E2.2.1.1, tktA, tktB	transketolase [EC:2.2.1.1]	1	
KO:K00616	E2.2.1.2, talA, talB	transaldolase [EC:2.2.1.2]	1	
KO:K00625	E2.3.1.8, pta	phosphate acetyltransferase [EC:2.3.1.8]	1	
KO:K00626	ACAT, atoB	acetyl-CoA C-acetyltransferase [EC:2.3.1.9]	1	
KO:K00640	cysE	serine O-acetyltransferase [EC:2.3.1.30]	1	
KO:K00645	fabD, MCAT, MCT1	[acyl-carrier-protein] S-malonyltransferase [EC:2.3.1.39]	1	
KO:K00648	fabH	3-oxoacyl-[acyl-carrier-protein] synthase III [EC:2.3.1.180]	1	
KO:K00652	bioF	8-amino-7-oxononanoate synthase [EC:2.3.1.47]	1	
KO:K00655	plsC	1-acyl-sn-glycerol-3-phosphate acyltransferase [EC:2.3.1.51]	1	
KO:K00674	dapD	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase [EC:2.3.1.117]	1	
KO:K00677	lpxA	UDP-N-acetylglucosamine acyltransferase [EC:2.3.1.129]	1	
KO:K00681	ggt	gamma-glutamyltranspeptidase / glutathione hydrolase [EC:2.3.2.2 3.4.19.13]	1	
KO:K00748	lpxB	lipid-A-disaccharide synthase [EC:2.4.1.182]	1	
KO:K00759	APRT, apt	adenine phosphoribosyltransferase [EC:2.4.2.7]	1	
KO:K00762	pyrE	orotate phosphoribosyltransferase [EC:2.4.2.10]	1	
KO:K00766	trpD	anthranilate phosphoribosyltransferase [EC:2.4.2.18]	1	
KO:K00767	nadC, QPRT	nicotinate-nucleotide pyrophosphorylase (carboxylating) [EC:2.4.2.19]	1	
KO:K00769	gpt	xanthine phosphoribosyltransferase [EC:2.4.2.22]	1	
KO:K00773	tgt	queuine tRNA-ribosyltransferase [EC:2.4.2.29]	1	
KO:K00782	lldG	L-lactate dehydrogenase complex protein LldG	1	
KO:K00783	rlmH	23S rRNA (pseudouridine1915-N3)-methyltransferase [EC:2.1.1.177]	1	
KO:K00788	thiE	thiamine-phosphate pyrophosphorylase [EC:2.5.1.3]	1	
KO:K00789	metK	S-adenosylmethionine synthetase [EC:2.5.1.6]	1	
KO:K00790	murA	UDP-N-acetylglucosamine 1-carboxyvinyltransferase [EC:2.5.1.7]	1	
KO:K00791	miaA, TRIT1	tRNA dimethylallyltransferase [EC:2.5.1.75]	1	
KO:K00793	ribE, RIB5	riboflavin synthase [EC:2.5.1.9]	1	
KO:K00794	ribH, RIB4	6,7-dimethyl-8-ribityllumazine synthase [EC:2.5.1.78]	1	
KO:K00795	ispA	farnesyl diphosphate synthase [EC:2.5.1.1 2.5.1.10]	1	
KO:K00796	folP	dihydropteroate synthase [EC:2.5.1.15]	1	
KO:K00797	speE, SRM, SPE3	spermidine synthase [EC:2.5.1.16]	1	
KO:K00800	aroA	3-phosphoshikimate 1-carboxyvinyltransferase [EC:2.5.1.19]	1	
KO:K00806	uppS	undecaprenyl diphosphate synthase [EC:2.5.1.31]	1	
KO:K00812	aspB	aspartate aminotransferase [EC:2.6.1.1]	1	
KO:K00820	glmS, GFPT	glutamine---fructose-6-phosphate transaminase (isomerizing) [EC:2.6.1.16]	1	
KO:K00826	E2.6.1.42, ilvE	branched-chain amino acid aminotransferase [EC:2.6.1.42]	1	
KO:K00833	bioA	adenosylmethionine---8-amino-7-oxononanoate aminotransferase [EC:2.6.1.62]	1	
KO:K00845	glk	glucokinase [EC:2.7.1.2]	1	
KO:K00858	ppnK, NADK	NAD+ kinase [EC:2.7.1.23]	1	
KO:K00859	coaE	dephospho-CoA kinase [EC:2.7.1.24]	1	
KO:K00872	thrB	homoserine kinase [EC:2.7.1.39]	1	
KO:K00878	thiM	hydroxyethylthiazole kinase [EC:2.7.1.50]	1	
KO:K00891	aroK, aroL	shikimate kinase [EC:2.7.1.71]	1	
KO:K00901	dgkA, DGK	diacylglycerol kinase (ATP) [EC:2.7.1.107]	1	
KO:K00912	lpxK	tetraacyldisaccharide 4'-kinase [EC:2.7.1.130]	1	
KO:K00919	ispE	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase [EC:2.7.1.148]	1	
KO:K00925	ackA	acetate kinase [EC:2.7.2.1]	1	
KO:K00927	PGK, pgk	phosphoglycerate kinase [EC:2.7.2.3]	1	
KO:K00928	lysC	aspartate kinase [EC:2.7.2.4]	1	
KO:K00937	ppk	polyphosphate kinase [EC:2.7.4.1]	1	
KO:K00939	adk, AK	adenylate kinase [EC:2.7.4.3]	1	
KO:K00940	ndk, NME	nucleoside-diphosphate kinase [EC:2.7.4.6]	1	
KO:K00941	thiD	hydroxymethylpyrimidine/phosphomethylpyrimidine kinase [EC:2.7.1.49 2.7.4.7]	1	
KO:K00942	E2.7.4.8, gmk	guanylate kinase [EC:2.7.4.8]	1	
KO:K00943	tmk, DTYMK	dTMP kinase [EC:2.7.4.9]	1	
KO:K00948	PRPS, prsA	ribose-phosphate pyrophosphokinase [EC:2.7.6.1]	1	
KO:K00949	thiN, TPK1, THI80	thiamine pyrophosphokinase [EC:2.7.6.2]	1	
KO:K00950	folK	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase [EC:2.7.6.3]	1	
